Unfairness weight,Local cost weight,Global cost weight
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998
0.0,0.9,0.09999999999999998

