Unfairness weight,Local cost weight,Global cost weight
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9
0.0,0.1,0.9

