3,BUSINESS
4,FAMILY
0,FAMILY
2,FAMILY
4,SINGLE
8,COUPLE
6,GROUP
7,FAMILY
5,SINGLE
3,COUPLE
7,BUSINESS
1,GROUP
1,SINGLE
6,SINGLE
5,FAMILY
6,BUSINESS
5,SINGLE
3,COUPLE
7,COUPLE
9,BUSINESS
9,FAMILY
5,SINGLE
6,GROUP
2,GROUP
2,COUPLE
2,SINGLE
7,SINGLE
7,COUPLE
6,BUSINESS
6,SINGLE
3,FAMILY
8,BUSINESS
6,BUSINESS
9,COUPLE
1,BUSINESS
3,GROUP
4,BUSINESS
3,BUSINESS
2,BUSINESS
0,SINGLE
1,FAMILY
0,GROUP
8,COUPLE
8,BUSINESS
4,BUSINESS
6,SINGLE
8,GROUP
3,FAMILY
1,FAMILY
8,COUPLE
7,FAMILY
2,SINGLE
8,GROUP
5,BUSINESS
2,COUPLE
0,GROUP
4,FAMILY
7,SINGLE
7,FAMILY
6,BUSINESS
2,SINGLE
7,FAMILY
1,COUPLE
0,SINGLE
1,SINGLE
2,GROUP
2,GROUP
4,FAMILY
2,COUPLE
9,FAMILY
7,BUSINESS
7,GROUP
1,FAMILY
1,FAMILY
7,BUSINESS
3,BUSINESS
6,BUSINESS
2,BUSINESS
5,GROUP
4,GROUP
4,BUSINESS
9,FAMILY
3,GROUP
2,GROUP
0,SINGLE
2,SINGLE
0,COUPLE
5,GROUP
5,GROUP
3,SINGLE
1,FAMILY
3,SINGLE
5,FAMILY
3,BUSINESS
5,FAMILY
7,GROUP
4,GROUP
0,SINGLE
1,BUSINESS
0,GROUP
3,BUSINESS
4,FAMILY
0,FAMILY
2,FAMILY
4,SINGLE
8,COUPLE
6,GROUP
7,FAMILY
5,SINGLE
3,COUPLE
7,BUSINESS
1,GROUP
1,SINGLE
6,SINGLE
5,FAMILY
6,BUSINESS
5,SINGLE
3,COUPLE
7,COUPLE
9,BUSINESS
9,FAMILY
5,SINGLE
6,GROUP
2,GROUP
2,COUPLE
2,SINGLE
7,SINGLE
7,COUPLE
6,BUSINESS
6,SINGLE
3,FAMILY
8,BUSINESS
6,BUSINESS
9,COUPLE
1,BUSINESS
3,GROUP
4,BUSINESS
3,BUSINESS
2,BUSINESS
0,SINGLE
1,FAMILY
0,GROUP
8,COUPLE
8,BUSINESS
4,BUSINESS
6,SINGLE
8,GROUP
3,FAMILY
1,FAMILY
8,COUPLE
7,FAMILY
2,SINGLE
8,GROUP
5,BUSINESS
2,COUPLE
0,GROUP
4,FAMILY
7,SINGLE
